
00-00000420;Станция Топас 10 П 1400                                       со скидкой;шт.;1;210900;189810;Топас;;10;;П;1400;Топас;147630;24000;9500;14500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000421;Станция Топас 10 С 1400 Ус                                      со скидкой;шт.;1;218700;196830;Топас;;10;;С;1400;Топас;153090;24000;9500;14500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000422;Станция Топас 10 П 1400 Ус                                      со скидкой;шт.;1;230100;207090;Топас;;10;;П;1400;Топас;161070;24000;9500;14500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000423;Станция Топас 12 С 800                                       со скидкой;шт.;1;172400;155160;Топас;;12;;С;800;Топас;120680;22000;10000;15000;;2,1;1,2;2,55;6;4,4;4,574;9,524;;;;;11;15,95;500;
00-00000424;Станция Топас 12 П 800                                       со скидкой;шт.;1;185100;166590;Топас;;12;;П;800;Топас;129570;22000;10000;15000;;2,05;1,2;2,6;6;4,4;4,58;9,564;;;;;10,976;15,96;500;
00-00000425;Станция Топас 12 С 1400                                       со скидкой;шт.;1;193500;174150;Топас;;12;;С;1400;Топас;135450;25000;10000;15000;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000426;Станция Топас 12 П 1400                                       со скидкой;шт.;1;212500;191250;Топас;;12;;П;1400;Топас;148750;25000;10000;15000;;2;1,2;3,1;6;4,1;5,232;11,04;;;;;12,672;18,48;800;
00-00000427;Станция Топас 12 С 1400 Ус                                      со скидкой;шт.;1;219700;197730;Топас;;12;;С;1400;Топас;153790;25000;10000;15000;;2,11;1,4;3,1;6;5;5,752;11,9692;;;;;14,9094;21,1266;800;
00-00000428;Станция Топас 12 П 1400 Ус                                      со скидкой;шт.;1;231700;208530;Топас;;12;;П;1400;Топас;162190;25000;10000;15000;;2;1,4;3,1;6;4,8;5,576;11,648;;;;;14,256;20,328;800;
00-00000429;Станция Топас 15 С 800                                       со скидкой;шт.;1;200600;180540;Топас;;15;;С;800;Топас;140420;24000;10500;15500;;2,1;1,2;2,5;6;4,3;4,5;9,36;;;;;10,8;15,66;500;
00-00000430;Станция Топас 15 П 800                                       со скидкой;шт.;1;225600;203040;Топас;;15;;П;800;Топас;157920;24000;10500;15500;;2,1;1,2;2,6;6;4,5;4,648;9,688;;;;;11,2;16,24;500;
00-00000431;Станция Топас 15 С 1400                                       со скидкой;шт.;1;230000;207000;Топас;;15;;С;1400;Топас;161000;27000;10500;15500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000432;Станция Топас 15 П 1400                                       со скидкой;шт.;1;247600;222840;Топас;;15;;П;1400;Топас;173320;27000;10500;15500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000433;Станция Топас 15 С 1400 Ус                                      со скидкой;шт.;1;249300;224370;Топас;;15;;С;1400;Топас;174510;27000;10500;15500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00000434;Станция Топас 15 П 1400 Ус                                      со скидкой;шт.;1;267700;240930;Топас;;15;;П;1400;Топас;187390;27000;10500;15500;;2,1;1,2;3,1;6;4,3;5,388;11,328;;;;;13,2;19,14;800;
00-00001913;Станция Топас 30 С 800;шт.;1;335800;335800;Топас;;30;;С;800;Топас;235060;34000;13000;18000;;2,3;2,2;3,1;8;11,6;7,48;15,004;;;;;23,166;30,69;500;
