																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00001919	Станция Топас-С 5 П 800                                        со скидкой	шт.	1	102 000	91 800	Топас-С		5		П	800	Топас	71 400	16 000	7 500	12 500		1,00	1,20	2,60	4	2,2	3,15	6,96					6,27	10,08	500	
00-00001920	Станция Топас-С 5 С 1400                                        со скидкой	шт.	1	113 900	102 510	Топас-С		5		С	1 400	Топас	79 730	19 000	7 500	12 500		1,10	1,20	3,10	4	2,2	3,83	8,45					7,92	12,54	800	
00-00001921	Станция Топас-С 5 П 1400                                        со скидкой	шт.	1	127 900	115 110	Топас-С		5		П	1 400	Топас	89 530	19 000	7 500	12 500		1,10	1,20	3,10	4	2,2	3,83	8,45					7,92	12,54	800	
00-00001922	Станция Топас-С 6 С 800                                        со скидкой	шт.	1	96 600	86 940	Топас-С		6		С	800	Топас	67 620	16 000	7 500	12 500		1,20	1,20	2,55	4	2,5	3,37	7,33					7,04	11,00	500	
00-00001923	Станция Топас-С 6 П 800                                        со скидкой	шт.	1	107 200	96 480	Топас-С		6		П	800	Топас	75 040	16 000	7 500	12 500		1,10	1,20	2,60	4	2,4	3,29	7,21					6,72	10,64	500	
00-00001924	Станция Топас-С 6 С 1400                                        со скидкой	шт.	1	117 400	105 660	Топас-С		6		С	1 400	Топас	82 180	19 000	7 500	12 500		1,20	1,00	3,10	4	2	3,67	8,16					7,39	11,88	800	
00-00001925	Станция Топас-С 6 П 1400                                        со скидкой	шт.	1	131 200	118 080	Топас-С		6		П	1 400	Топас	91 840	19 000	7 500	12 500		1,20	1,00	3,10	4	2	3,67	8,16					7,39	11,88	800	
00-00001926	Станция Топас-С 8 С 800                                        со скидкой	шт.	1	116 900	105 210	Топас-С		8		С	800	Топас	81 830	18 000	8 500	13 500		1,60	1,20	2,50	5	3,3	3,84	8,16					8,64	12,96	500	
00-00001927	Станция Топас-С 8 П 800                                        со скидкой	шт.	1	129 100	116 190	Топас-С		8		П	800	Топас	90 370	18 000	8 500	13 500		1,60	1,20	2,60	5	3,5	3,97	8,45					8,96	13,44	500	
00-00001928	Станция Топас-С 8 С 1400                                        со скидкой	шт.	1	133 100	119 790	Топас-С		8		С	1 400	Топас	93 170	21 000	8 500	13 500		1,60	1,20	3,10	5	3,3	4,61	9,89					10,56	15,84	800	
